                                        建信期货有限责任公司                                        
                                                                    制表时间 Creation Date：20220401
----------------------------------------------------------------------------------------------------
                             交易结算单(盯市) Settlement Statement(MTM)                             
客户号 Client ID：  30000072          客户名称 Client Name：上海久铭投资管理有限公司
日期 Date：20220401

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                    38415.76  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：                 0.00  期末结存 Balance c/f：                  38415.76
平仓盈亏 Realized P/L：                       0.00  质 押 金 Pledge Amount：                    0.00
持仓盯市盈亏 MTM P/L：                        0.00  客户权益 Client Equity：：              38415.76
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                         0.00  保证金占用 Margin Occupied：                0.00
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：     1229600.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：          0.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：       1268015.76
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：                  38415.76
权利金收入 Premium received：                 0.00  风 险 度 Risk Degree：                     0.00%
权利金支出 Premium paid：                     0.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                              持仓明细 Positions Detail
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| 交易所 |       品种       |      合约      |开仓日期 |   投/保    |买/卖|持仓量 |    开仓价     |     昨结算     |     结算价     |  浮动盈亏  |  盯市盈亏 |  保证金   |       期权市值       |
|Exchange|     Product      |   Instrument   |Open Date|    S/H     | B/S |Positon|Pos. Open Price|   Prev. Sttl   |Settlement Price| Accum. P/L |  MTM P/L  |  Margin   | Market Value(Options)|
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| 中金所 |     股指期权     | IO2206-P-3500  | 20220322|交易        |买   |      1|         19.600|          16.800|          12.600|        0.00|       0.00|       0.00|               1260.00|
| 中金所 |     股指期权     | IO2206-P-3500  | 20220322|交易        |买   |      6|         19.600|          16.800|          12.600|        0.00|       0.00|       0.00|               7560.00|
| 中金所 |     股指期权     | IO2206-P-3500  | 20220322|交易        |买   |      6|         19.800|          16.800|          12.600|        0.00|       0.00|       0.00|               7560.00|
| 中金所 |     股指期权     | IO2206-P-3500  | 20220322|交易        |买   |      2|         19.800|          16.800|          12.600|        0.00|       0.00|       0.00|               2520.00|
| 中金所 |     股指期权     | IO2206-P-3600  | 20220322|交易        |买   |      1|         25.800|          22.400|          17.000|        0.00|       0.00|       0.00|               1700.00|
| 中金所 |     股指期权     | IO2206-P-3600  | 20220322|交易        |买   |      4|         25.800|          22.400|          17.000|        0.00|       0.00|       0.00|               6800.00|
| 中金所 |     股指期权     | IO2206-P-3700  | 20220318|交易        |买   |      3|         59.400|          31.200|          23.000|        0.00|       0.00|       0.00|               6900.00|
| 中金所 |     股指期权     | IO2206-P-3700  | 20220318|交易        |买   |      3|         51.000|          31.200|          23.000|        0.00|       0.00|       0.00|               6900.00|
| 中金所 |     股指期权     | IO2206-P-3700  | 20220318|交易        |买   |      3|         57.000|          31.200|          23.000|        0.00|       0.00|       0.00|               6900.00|
